Cost k_stress k_i V_S3 K_m1 K_P2 V_S4 K_m2 K_P3 V_S5 K_m3 K_d1 K_d2 K_d3 n1 n2 K_b G_tot V_S2 K1 K_d5
1.261344909543491326e+02 1.759751682421637042e+01 1.437875017331269545e+00 3.265885246725596769e+00 2.000000000000000000e+00 9.694818876944376385e+00 1.499752248618689165e+00 8.520578756452611147e-02 1.151528511911464214e+00 6.758612396009471522e-03 3.313330013452904510e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.621780345682986679e-01 4.944067815312550351e+00 4.304412255171462753e+00 4.997526055602193040e-02 2.972663481661559359e+00 4.113028228811484860e-02 5.630410604806206365e-01 8.999999999999999667e-02
1.256435264690548479e+02 1.423116761541144371e+01 1.568611973031690976e+00 3.032523995852566934e+00 2.000000000000000000e+00 8.751304145357034159e+00 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 1.000000000000000021e-03 3.000091408526666184e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.686946243511146637e-01 4.804580114530167201e+00 5.268513045544496620e+00 5.000000000000000278e-02 2.775145489420773437e+00 7.000000000000000666e-02 5.601887574683033222e-01 8.999999999999999667e-02
1.348017240417967741e+02 1.152909741226036466e+01 1.603071921222604557e+00 3.776922903890805205e+00 1.820742414191670822e+00 8.792961197205697133e+00 1.338784699320975102e+00 1.003075565553171122e+00 9.657436893968485148e-01 8.000000000000000167e-03 5.120995460692017581e-02 4.999999983292983258e-03 1.000000000000000021e-02 3.784456735633929814e-01 4.151875775020426040e+00 5.600317953770166390e+00 1.767072267877703093e-02 3.655735173385043169e+00 2.245079800943469359e-02 5.013379052062097996e-01 8.911371180164900929e-02
1.349352041647272245e+02 1.865940064818160948e+01 1.432267146577262062e+00 3.808909772935735294e+00 1.695599634526956834e+00 9.797792193964365737e+00 1.493227508358438760e+00 1.134892581223547081e+00 1.155161256183229401e+00 8.000000000000000167e-03 7.104437874494613780e-02 3.141208801621058963e-03 1.000000000000000021e-02 3.824673985198466242e-01 4.530895032622169083e+00 5.194214849069354933e+00 1.448864915824237855e-02 3.654351455415024486e+00 4.685704687359402293e-02 4.042130411133342816e-01 8.999999999999999667e-02
1.355564736949011149e+02 1.648085821268834650e+01 1.504765458307502302e+00 3.504686792259327444e+00 1.716511367144345934e+00 8.701244942712772712e+00 1.131894822441258386e+00 1.137601950545768847e+00 1.127929684859789727e+00 3.942455295782937297e-03 5.633723758897764278e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.711575469454084231e-01 4.488509392217187255e+00 5.522621964320353349e+00 1.801553807114723155e-02 3.731860345166387649e+00 1.606963110580719029e-02 3.418519892423650952e-01 8.993092626090566644e-02
1.357952535694738003e+02 1.255572456149284299e+01 1.545837686351966944e+00 3.253547814014453810e+00 1.601182057004955750e+00 9.032554854662009802e+00 1.360371309197057288e+00 1.252996489378224831e+00 1.143313865308607014e+00 8.000000000000000167e-03 7.561747067975879699e-02 4.999460068151610932e-03 1.000000000000000021e-02 4.003601086686550681e-01 5.610745136978850134e+00 5.737521713953267266e+00 1.501401867626138420e-02 3.687421442551401363e+00 3.284252924465820567e-02 6.180471012134260977e-01 8.733049951312252257e-02
1.257979320332851927e+02 1.532425049064914724e+01 1.470643013535642529e+00 3.002036445453108104e+00 1.999999918023969148e+00 1.046124102079328644e+01 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 8.000000000000000167e-03 6.114980713940946361e-02 4.995425090036914942e-03 1.000000000000000021e-02 3.697780816370119794e-01 5.827379737058662634e+00 4.726401919998806100e+00 4.858730944808365565e-02 2.850765380313836861e+00 5.752798185512524032e-02 3.595087559792199405e-01 8.964327382613739015e-02
1.297840156681922394e+02 7.799522285476637506e+00 1.625590871622765610e+00 3.911421067150675501e+00 1.504155687991268087e+00 1.074848604297907073e+01 1.486466171041257889e+00 8.000000000000000167e-02 1.176768403030706400e+00 7.391947788172892678e-03 4.173007829962298992e-02 2.000000000000000042e-03 1.000000000000000021e-02 4.168976249906300446e-01 5.108287498596878251e+00 5.217327176600663030e+00 2.268886269602117881e-02 2.852685942675444064e+00 7.000000000000000666e-02 4.857332873031734999e-01 8.483894651922235797e-02
1.258160418599298680e+02 1.619079037952498368e+01 1.575367817054387887e+00 3.194357881565333734e+00 2.000000000000000000e+00 9.475985809719219333e+00 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 1.000000000000000021e-03 3.480065968159772039e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.666277615051204419e-01 4.740684792403982328e+00 5.922492509010840678e+00 5.000000000000000278e-02 2.646708548084479418e+00 7.000000000000000666e-02 4.093534070356745214e-01 8.231366048615441910e-02
1.368788817979107080e+02 2.000000000000000000e+01 1.529702847884914174e+00 3.000000000000000000e+00 1.037385053370509347e+00 7.000020601511447893e+00 1.500000000000000000e+00 1.974068397483009774e+00 1.191334250665605055e+00 8.000000000000000167e-03 2.999999999999999889e-02 2.000000000000000042e-03 1.000000000000000021e-02 3.726956755358608597e-01 4.000039433962307989e+00 5.999150674932467453e+00 1.978314825344242717e-02 3.314295841091073669e+00 4.666922744847993437e-02 6.996981237769457351e-01 8.968363152739761146e-02
