NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,130,.12915402,.12902486,.10998964E-01,.10998964E-01,8.4497428
1999,166,.82703936E-01,.36300304E-01,.93600750E-02,.20359039E-01,12.244122
2999,190,.63155375E-01,.24077803E-01,.92279911E-02,.29587030E-01,15.542534
3999,199,.49623267E-01,.90404723E-02,.90990067E-02,.38686037E-01,19.401534
4999,220,.44008008E-01,.21552589E-01,.91199875E-02,.47806025E-01,21.682205
5999,227,.37737046E-01,.63885078E-02,.88949203E-02,.56700945E-01,24.921689
6999,233,.33210715E-01,.60572551E-02,.88541508E-02,.65555096E-01,28.069679
7999,239,.29812906E-01,.60316432E-02,.88458061E-02,.74400902E-01,31.055684
8999,242,.26833794E-01,.30038702E-02,.88090897E-02,.83209991E-01,34.301084
9999,250,.24981234E-01,.83100518E-02,.95500946E-02,.92760086E-01,37.011274
10999,256,.23244651E-01,.58805580E-02,.91609955E-02,.10192108,39.711001
11999,262,.21841712E-01,.64107872E-02,.94158649E-02,.11133695,42.383681
12999,269,.20706910E-01,.70904116E-02,.89321136E-02,.12026906,44.589419
13999,275,.19732664E-01,.70684408E-02,.89030266E-02,.12917209,46.842496
14999,286,.19033442E-01,.92450431E-02,.89628696E-02,.13813496,48.160801
15999,292,.18210288E-01,.58637951E-02,.88980198E-02,.14703298,50.206726
16999,297,.17493202E-01,.60205516E-02,.88450909E-02,.15587807,52.328320
17999,298,.16592639E-01,.12839547E-02,.88930130E-02,.16477108,55.127538
18999,299,.15776277E-01,.10825914E-02,.89838505E-02,.17375493,57.938262
19999,299,.14987734E-01,.62007310E-05,.87599754E-02,.18251491,60.859260
20999,301,.14403794E-01,.27255742E-02,.88059902E-02,.19132090,63.370439
21999,304,.13870042E-01,.26617758E-02,.87840557E-02,.20010495,65.623892
22999,306,.13389465E-01,.28172599E-02,.90150833E-02,.20912004,68.130761
23999,308,.12923063E-01,.21962766E-02,.90599060E-02,.21817994,70.619463
24999,317,.12731070E-01,.81234324E-02,.92260838E-02,.22740602,71.509510
25999,321,.12407953E-01,.43303530E-02,.91938972E-02,.23659992,73.470541
26999,323,.12024010E-01,.20418900E-02,.90930462E-02,.24569297,75.820242
27999,329,.11816170E-01,.62046806E-02,.91540813E-02,.25484705,77.206262
28999,334,.11576619E-01,.48694442E-02,.91159344E-02,.26396298,78.766871
29999,352,.11835924E-01,.19355488E-01,.91369152E-02,.27309990,77.312099
30999,356,.11632302E-01,.55238457E-02,.87931156E-02,.28189301,78.901538
31999,357,.11300203E-01,.10054642E-02,.87559223E-02,.29064894,81.123619
32999,357,.10966193E-01,.27823694E-03,.89049339E-02,.29955387,83.609094
33999,357,.10649261E-01,.19079288E-03,.88510513E-02,.30840492,86.079529
34999,357,.10346607E-01,.56675257E-04,.87430477E-02,.31714797,88.519818
35999,359,.10093033E-01,.12182135E-02,.88391304E-02,.32598710,90.478219
36999,360,.98473073E-02,.10014236E-02,.87440014E-02,.33473110,92.646131
37999,361,.96056455E-02,.66440080E-03,.87409019E-02,.34347200,94.801127
38999,362,.93856926E-02,.10277031E-02,.87580681E-02,.35223007,96.948895
39999,363,.91859520E-02,.13962683E-02,.87449551E-02,.36097503,99.081181
40999,364,.89732439E-02,.46513393E-03,.89838505E-02,.36995888,101.26710
41999,366,.88106794E-02,.21456969E-02,.88591576E-02,.37881804,103.12338
42999,369,.86666303E-02,.26167126E-02,.88410378E-02,.38765907,104.66900
43999,370,.84875661E-02,.78798139E-03,.88329315E-02,.39649200,106.76351
44999,372,.83531479E-02,.24388854E-02,.88679790E-02,.40535998,108.56238
45999,374,.82010068E-02,.13548057E-02,.88009834E-02,.41416097,110.32407
46999,375,.80659235E-02,.18522278E-02,.87850094E-02,.42294598,112.36265
47999,376,.79393267E-02,.19894027E-02,.88689327E-02,.43181491,114.41258
48999,377,.77992299E-02,.10747251E-02,.88970661E-02,.44071198,116.45902
49999,377,.76467441E-02,.17509138E-03,.87919235E-02,.44950390,118.78230
50999,377,.74968710E-02,.33687252E-05,.88150501E-02,.45831895,121.11169
51999,377,.73527160E-02,.95522843E-06,.87449551E-02,.46706390,123.42257
52999,377,.72162511E-02,.12020973E-03,.88391304E-02,.47590303,125.75832
53999,377,.70842235E-02,.86891384E-04,.87590218E-02,.48466206,128.07291
54999,377,.69555079E-02,.49972463E-05,.88269711E-02,.49348903,130.40546
55999,378,.68427276E-02,.63992476E-03,.92229843E-02,.50271201,132.48988
56999,378,.67227075E-02,.16986617E-05,.89449883E-02,.51165700,134.84734
57999,378,.66068077E-02,.63417612E-06,.88350773E-02,.52049208,137.17582
58999,378,.64949867E-02,.94803680E-05,.88288784E-02,.52932096,139.50268
59999,378,.63870420E-02,.18415194E-04,.88319778E-02,.53815293,141.83035
60999,378,.62883696E-02,.36812612E-03,.88069439E-02,.54695988,144.15142
61999,379,.62040361E-02,.10597781E-02,.88260174E-02,.55578589,146.08957
62999,379,.61056649E-02,.67460336E-05,.88841915E-02,.56467009,148.42480
63999,379,.60107088E-02,.28567811E-04,.89828968E-02,.57365298,150.78597
64999,379,.59189809E-02,.48486062E-04,.88219643E-02,.58247495,153.10485
65999,379,.58293347E-02,.24222465E-05,.88040829E-02,.59127903,155.41902
66999,379,.57423494E-02,.14066576E-05,.88138580E-02,.60009289,157.73576
67999,379,.56587466E-02,.57443756E-04,.88131428E-02,.60890603,160.05232
68999,379,.55767866E-02,.35861101E-05,.88059902E-02,.61771202,162.36699
69999,379,.54973900E-02,.19109532E-04,.88100433E-02,.62652206,164.68273
70999,380,.54387905E-02,.13368818E-02,.90939999E-02,.63561606,166.63177
71999,389,.54759395E-02,.81134793E-02,.89609623E-02,.64457703,165.05646
72999,393,.54574706E-02,.41277269E-02,.89030266E-02,.65348005,165.62643
73999,395,.54090509E-02,.18744675E-02,.88248253E-02,.66230488,167.00982
74999,400,.54140513E-02,.57840715E-02,.88741779E-02,.67117906,167.12358
75999,406,.54178356E-02,.57016579E-02,.88899136E-02,.68006897,166.82460
76999,410,.54011710E-02,.41346757E-02,.88460445E-02,.68891501,167.33914
77999,413,.53795098E-02,.37116193E-02,.89168549E-02,.69783187,168.26872
78999,415,.53374210E-02,.20545394E-02,.89750290E-02,.70680690,169.60811
79999,416,.52838072E-02,.10483639E-02,.88181496E-02,.71562505,171.30963
80999,416,.52300187E-02,.92699429E-03,.87850094E-02,.72441006,173.41262
81999,416,.51671376E-02,.73834446E-04,.87728500E-02,.73318291,175.51271
82999,417,.51187904E-02,.11543686E-02,.87921619E-02,.74197507,177.18970
83999,417,.50584221E-02,.47909857E-04,.87788105E-02,.75075388,179.28615
84999,417,.50003567E-02,.12291993E-03,.87630749E-02,.75951695,181.37884
85999,419,.49665742E-02,.20950987E-02,.90570450E-02,.76857400,182.66197
86999,419,.49169324E-02,.64778668E-03,.87659359E-02,.77733994,184.74532
87999,421,.48810913E-02,.17629518E-02,.88009834E-02,.78614092,185.94567
88999,421,.48273825E-02,.10106205E-03,.87661743E-02,.79490709,188.01913
89999,423,.47929749E-02,.17307337E-02,.87969303E-02,.80370402,189.19725
90999,423,.47415769E-02,.11581149E-03,.87809563E-02,.81248498,191.26434
91999,425,.47052805E-02,.14023390E-02,.88169575E-02,.82130194,192.42621
92999,425,.46570202E-02,.21711896E-03,.88090897E-02,.83011103,194.49013
93999,427,.46295509E-02,.20749358E-02,.90298653E-02,.83914089,195.68097
94999,429,.45944454E-02,.12945655E-02,.88191032E-02,.84796000,196.81171
95999,430,.45576435E-02,.10615020E-02,.88040829E-02,.85676408,198.39070
96999,432,.45147305E-02,.39511971E-03,.88188648E-02,.86558294,199.50084
97999,432,.44687005E-02,.38348015E-05,.87709427E-02,.87435389,201.52238
98999,432,.44248837E-02,.13088409E-03,.87800026E-02,.88313389,203.54601
99999,433,.43935011E-02,.12866521E-02,.88031292E-02,.89193702,205.09814
100999,433,.43500895E-02,.89811380E-05,.25990963E-01,.91792798,211.07468
101999,433,.43087010E-02,.12849904E-03,.89530945E-02,.92688107,213.13341
102999,434,.42785799E-02,.12062589E-02,.89077950E-02,.93578887,214.68377
103999,434,.42410244E-02,.37284640E-03,.91052055E-02,.94489408,216.77263
104999,434,.42010885E-02,.47795888E-04,.90780258E-02,.95397210,218.85527
105999,434,.41684678E-02,.74332796E-03,.91288090E-02,.96310091,220.94955
106999,434,.41300042E-02,.52893535E-04,.91061592E-02,.97220707,223.03864
107999,434,.40957837E-02,.43422560E-03,.91309547E-02,.98133802,225.13341
108999,434,.40595349E-02,.14470843E-03,.89368820E-02,.99027491,227.18367
109999,435,.40318174E-02,.10106389E-02,.90081692E-02,.99928308,228.72096
110999,436,.40048759E-02,.10413319E-02,.88529587E-02,1.0081360,230.21572
111999,436,.39705054E-02,.15541045E-03,.89449883E-02,1.0170810,232.25838
112999,437,.39450664E-02,.10959241E-02,.91450214E-02,1.0262260,233.80811
113999,437,.39107698E-02,.35291383E-04,.92468262E-02,1.0354729,235.91484
114999,438,.38860597E-02,.10691383E-02,.91910362E-02,1.0446639,237.46308
115999,439,.38535056E-02,.10981689E-03,.10132074E-01,1.0547960,239.21764
116999,440,.38322690E-02,.13688377E-02,.10705948E-01,1.0655019,241.09403
117999,440,.38001730E-02,.44970058E-04,.10595083E-01,1.0760970,243.49141
118999,441,.37767479E-02,.10126139E-02,.99229813E-02,1.0860200,245.17702
119999,441,.37453340E-02,.71142178E-05,.91118813E-02,1.0951319,247.23409
120999,441,.37145048E-02,.15029114E-04,.98960400E-02,1.1050279,249.46820
121999,441,.36844881E-02,.52502275E-04,.94439983E-02,1.1144719,251.60025
122999,441,.36562967E-02,.21696534E-03,.93660355E-02,1.1238379,253.71470
123999,441,.36268526E-02,.52604034E-05,.92339516E-02,1.1330719,255.79933
124999,441,.35978488E-02,.14134070E-05,.89051723E-02,1.1419771,257.80974
125999,441,.35693354E-02,.51818178E-05,.91469288E-02,1.1511240,259.87473
