SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4,SampleVariable5,SampleVariable6,SampleVariable7,SampleVariable8,SampleVariable9,SampleVariable10,SampleVariable11,SampleVariable12,SampleVariable13,SampleVariable14,SampleVariable15,SampleVariable16,SampleVariable17,SampleVariable18,SampleVariable19,SampleVariable20,SampleVariable21,SampleVariable22
-38.456711,35.576041,53.328327,13.748110,16.921628,31.534450,15.251707,83.793479,8.2500834,11.052606,7.6530442,52.074551,9.2341030,37.790222,11.947531,35.343407,55.349654,49.738192,20.079835,33.085636,53.045516,65.076053,8.2571883
-43.658998,32.396755,49.535660,13.296502,16.243151,34.727854,16.908664,86.325213,9.8730847,9.8885611,7.9389031,51.132873,9.5035143,37.346056,7.1687428,34.122251,53.205264,52.008370,21.503258,32.601620,52.125970,67.877578,10.242397
-41.714387,33.767682,50.106399,14.258201,16.744169,36.160067,18.226934,81.985640,6.9389905,10.279063,6.1899775,51.733488,7.3155543,36.501784,8.4665198,34.296823,56.113165,50.722067,20.112651,34.169526,53.468971,63.756999,10.017830
-40.261917,33.327537,49.766260,12.689514,16.139084,31.421751,15.247710,80.950825,8.1017410,10.774517,8.2485023,51.909780,7.2151015,39.829314,9.5425123,33.545421,53.867765,52.099180,19.652139,36.062008,53.375410,62.538439,8.2431520
-40.261917,33.327537,49.766260,12.689514,16.139084,31.421751,15.247710,80.950825,8.1017410,10.774517,8.2485023,51.909780,7.2151015,39.829314,9.5425123,33.545421,53.867765,52.099180,19.652139,36.062008,53.375410,62.538439,8.2431520
-39.428767,36.317204,49.805567,15.157978,16.869414,33.444347,15.698308,81.519281,9.7181639,9.3318312,7.5599154,54.979665,7.7434015,38.404254,10.598002,32.993196,56.165889,50.780265,19.505064,32.894168,53.037180,66.823849,6.8275454
-33.366548,35.729552,49.820999,14.344442,15.725379,30.629824,16.231945,81.908281,9.7232409,9.9189343,9.7470155,54.358255,8.7467054,38.761304,9.2206189,33.601919,54.686764,51.882890,19.351317,32.211537,52.733796,65.300921,9.0133443
-36.059651,34.739624,50.303722,13.807137,18.023271,30.841320,17.280762,83.181390,10.764582,11.237822,8.7665339,54.142851,9.7505864,37.022229,9.8626011,34.899785,54.059826,52.845162,20.233240,32.812783,52.388206,67.695445,8.1855023
-38.199373,32.890525,49.849576,11.915250,15.705363,32.325988,15.450828,83.205207,12.238311,10.364510,7.8986576,51.755209,10.083934,36.465153,9.6890063,33.728367,54.105520,50.546494,20.898941,31.868339,50.427894,64.850512,8.2897592
-43.074276,36.454022,49.498500,13.842835,14.617369,32.919800,16.641575,81.677544,11.956975,8.7892522,6.0360461,55.413843,7.1971155,37.226531,9.5002526,32.619596,56.750895,48.649310,19.187082,32.371042,51.524229,63.274394,7.9483749
-43.014616,33.595531,51.241189,13.580496,19.528474,31.653133,19.381188,84.277237,10.625486,8.5563841,8.8546020,53.137901,6.9744601,38.350731,10.949122,33.554507,55.915276,51.138611,18.112989,33.896839,47.492162,65.017853,9.1676496
-33.437566,35.008576,51.497245,12.651782,16.243415,31.413734,16.241994,82.707640,9.5837324,11.066289,8.3346669,52.955654,7.7535163,36.803948,8.0202713,33.623116,55.007319,51.254916,19.857439,33.404748,52.319002,66.401036,9.7512877
-33.264431,36.921379,50.845030,12.518530,15.968147,31.720623,15.612753,82.008274,8.3321291,9.9434594,8.1547726,53.436779,7.5964033,38.235874,8.5064621,33.609644,54.979626,51.692468,20.124370,31.592949,50.376628,64.451904,8.2067116
-33.264431,36.921379,50.845030,12.518530,15.968147,31.720623,15.612753,82.008274,8.3321291,9.9434594,8.1547726,53.436779,7.5964033,38.235874,8.5064621,33.609644,54.979626,51.692468,20.124370,31.592949,50.376628,64.451904,8.2067116
-39.010283,36.987065,51.679497,13.296521,14.989729,33.456684,14.808652,84.169915,10.934612,12.151616,8.1076599,54.665780,8.2284958,39.882217,10.337117,36.891728,53.126957,51.815591,20.976714,33.775659,49.318170,66.667262,9.9896068
-38.215991,36.007609,50.703040,12.218350,16.917376,33.868498,17.263761,83.760457,8.7050582,11.291744,8.3734552,55.301214,7.4739072,38.627793,7.0575376,34.787779,54.018359,52.856564,21.266731,35.930955,51.446560,63.485060,11.453750
-34.828449,35.531362,50.095186,12.629991,14.909549,34.306559,17.268801,82.007120,9.4640342,11.334299,7.8391444,54.959592,6.8372515,37.048826,8.5024423,35.221522,53.884573,51.944578,19.553505,35.633428,51.309437,62.515733,9.2691776
-34.828449,35.531362,50.095186,12.629991,14.909549,34.306559,17.268801,82.007120,9.4640342,11.334299,7.8391444,54.959592,6.8372515,37.048826,8.5024423,35.221522,53.884573,51.944578,19.553505,35.633428,51.309437,62.515733,9.2691776
-39.068717,34.150072,51.869768,13.656663,17.621772,30.879059,18.920075,81.762203,10.999675,10.753307,7.2221907,53.776311,6.1208456,39.275279,6.9188227,36.335282,51.708015,50.401769,18.697852,34.155020,50.704500,65.462475,7.7607428
-43.902954,36.882028,51.913592,12.341299,13.334352,33.033584,19.513575,82.474095,10.112004,9.6671579,6.8009182,54.439126,4.1909764,38.408064,11.322115,35.051351,54.620737,51.417146,17.868013,32.646382,52.559726,63.551474,6.3202099
-36.149218,35.923443,49.740526,12.124587,14.570059,32.897235,16.419046,83.107800,10.874763,12.629550,8.5446778,52.034934,5.4317998,38.768424,8.5124052,34.710222,53.098857,50.760434,21.348321,31.487781,51.172184,64.907166,11.106391
-35.305419,33.172683,48.705742,13.942487,15.076001,30.877078,16.564099,84.074816,10.704388,11.695254,9.7589957,54.441567,6.0035413,38.809743,8.6755319,34.422548,53.264298,52.525168,20.800536,33.234483,48.766482,65.171682,7.3854684
-37.892636,37.419722,48.214809,10.895032,16.405099,32.406763,17.692877,84.581303,8.9438968,8.4404101,9.9227103,52.532819,9.1508633,37.719355,9.9336976,34.508856,54.303210,50.647560,20.962593,35.339256,50.154313,64.682727,8.6746663
-34.875056,36.748647,49.234417,13.894056,15.986982,32.362479,17.669217,85.387005,8.3924125,11.193167,7.2299882,53.082205,7.0811503,37.888393,10.033603,34.663225,55.384890,51.572016,17.835545,34.567383,51.730400,64.095912,8.3631553
-44.033085,36.555796,51.882440,12.903594,13.863558,32.853278,15.628632,87.757464,10.446410,13.395243,8.8007608,54.148624,8.5334793,37.986008,7.4165386,37.820804,56.227932,52.295547,20.004303,34.041070,50.947491,66.467223,9.3140284
-40.410238,34.442237,47.748501,14.783261,15.797404,33.651343,16.251707,84.896935,7.4896074,9.1793448,7.0203442,57.112376,8.0759955,37.581389,9.8019915,36.441426,51.899171,49.704815,21.379145,33.426318,50.762967,64.790131,9.6353374
-36.415243,37.809510,48.719263,14.233163,17.643129,32.221575,17.512342,82.739282,9.9347034,11.738862,8.2692267,54.883261,8.0845909,37.480255,9.5762046,34.562081,51.521645,48.653655,20.433161,31.758421,50.366027,63.489713,8.4205529
-35.400396,35.770316,50.996072,15.852100,14.918560,32.217068,18.484186,82.457751,7.9642709,10.918939,8.5097592,53.990560,8.5138076,37.209993,8.4223432,34.081598,52.827502,49.297573,21.974475,31.938842,51.756609,62.467599,9.5557386
-36.284927,36.138018,50.769512,13.729525,16.771954,31.469228,18.232819,83.373629,7.9914873,10.871492,8.2850924,52.515855,7.6876184,38.103546,10.908024,33.885185,51.980173,49.724680,22.268524,31.626160,51.132164,61.970945,9.3436624
-36.103081,35.610692,49.654155,13.426913,19.296916,33.007448,18.782513,84.971504,8.7732813,10.914089,7.9247539,52.580851,9.2943656,37.734157,10.510504,34.770985,52.261594,50.302641,21.405034,32.841125,50.494362,64.977704,9.3022642
-36.103081,35.610692,49.654155,13.426913,19.296916,33.007448,18.782513,84.971504,8.7732813,10.914089,7.9247539,52.580851,9.2943656,37.734157,10.510504,34.770985,52.261594,50.302641,21.405034,32.841125,50.494362,64.977704,9.3022642
