NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,147,.14734648,.14719913,.14149189E-01,.14149189E-01,9.6111494
1999,153,.76754789E-01,.62336890E-02,.93178749E-02,.23467064E-01,15.314483
2999,159,.53297054E-01,.64050405E-02,.90839863E-02,.32551050E-01,20.439808
3999,171,.42722403E-01,.11009027E-01,.91419220E-02,.41692972E-01,24.340162
4999,194,.38546771E-01,.21848417E-01,.93080997E-02,.51001072E-01,26.238211
5999,204,.33820005E-01,.10190903E-01,.91810226E-02,.60182095E-01,29.440845
6999,208,.29672169E-01,.47893015E-02,.89640617E-02,.69146156E-01,33.174198
7999,210,.26249127E-01,.22912556E-02,.89659691E-02,.78112125E-01,37.118138
8999,213,.23668698E-01,.30278480E-02,.91350079E-02,.87247133E-01,40.873848
9999,216,.21619561E-01,.31793783E-02,.89738369E-02,.96220970E-01,44.450524
10999,221,.20114874E-01,.50695054E-02,.90839863E-02,.10530496,47.543997
11999,228,.19027058E-01,.70621736E-02,.90432167E-02,.11434817,50.038359
12999,234,.18028061E-01,.60410911E-02,.92089176E-02,.12355709,52.678618
13999,245,.17507225E-01,.10736882E-01,.90520382E-02,.13260913,53.993566
14999,250,.16653878E-01,.47078749E-02,.90219975E-02,.14163113,56.510819
15999,256,.15965659E-01,.56430608E-02,.95210075E-02,.15115213,58.892650
16999,263,.15405566E-01,.64446362E-02,.94769001E-02,.16062903,60.915049
17999,275,.15236227E-01,.12357633E-01,.94690323E-02,.17009807,61.683744
18999,275,.14472702E-01,.73002182E-03,.92399120E-02,.17933798,65.034472
19999,276,.13804992E-01,.11191535E-02,.91199875E-02,.18845797,68.093414
20999,282,.13452149E-01,.63956511E-02,.92251301E-02,.19768310,69.902706
21999,286,.12993949E-01,.33722046E-02,.90150833E-02,.20669818,72.065392
22999,291,.12611284E-01,.41930383E-02,.90048313E-02,.21570301,73.909043
23999,293,.12169153E-01,.20005726E-02,.89941025E-02,.22469711,76.463737
24999,296,.11803970E-01,.30399579E-02,.90219975E-02,.23371911,78.725440
25999,299,.11463126E-01,.29423640E-02,.89700222E-02,.24268913,80.924245
26999,302,.11131512E-01,.25098886E-02,.89328289E-02,.25162196,83.066908
27999,305,.10841540E-01,.30125874E-02,.90692043E-02,.26069117,85.211822
28999,305,.10468449E-01,.22260995E-04,.89118481E-02,.26960301,88.124828
29999,307,.10164815E-01,.13597367E-02,.89161396E-02,.27851915,90.444332
30999,308,.98705073E-02,.10415663E-02,.88889599E-02,.28740811,93.026914
31999,312,.96958901E-02,.42829322E-02,.90780258E-02,.29648614,94.731123
32999,313,.94423510E-02,.13293539E-02,.89108944E-02,.30539703,97.265540
33999,314,.91964789E-02,.10829433E-02,.88911057E-02,.31428814,99.777476
34999,314,.89347548E-02,.36397043E-04,.88689327E-02,.32315707,102.59311
35999,314,.86880383E-02,.53206788E-04,.90169907E-02,.33217406,105.45574
36999,314,.84536691E-02,.16612862E-04,.89120865E-02,.34108615,108.28508
37999,314,.82312798E-02,.30989807E-05,.88648796E-02,.34995103,111.09942
38999,314,.80202224E-02,.25185252E-06,.89709759E-02,.35892200,113.94745
39999,316,.78714192E-02,.20682448E-02,.89750290E-02,.36789703,116.05521
40999,316,.76804026E-02,.39929980E-04,.88751316E-02,.37677217,118.85493
41999,316,.74975393E-02,.32549481E-06,.88548660E-02,.38562703,121.64824
42999,317,.73510230E-02,.11974829E-02,.90539455E-02,.39468098,124.11036
43999,319,.72296198E-02,.20094060E-02,.90110302E-02,.40369201,126.14553
44999,319,.70696614E-02,.31653668E-04,.88810921E-02,.41257310,128.92069
45999,319,.69160291E-02,.27268786E-05,.88679790E-02,.42144108,131.69175
46999,319,.67688764E-02,.42543229E-09,.91409683E-02,.43058205,134.54812
47999,325,.67358020E-02,.51813378E-02,.93259811E-02,.43990803,134.91641
48999,340,.68922171E-02,.14399985E-01,.94110966E-02,.44931912,131.70336
49999,343,.68146886E-02,.30158708E-02,.11622906E-01,.46094203,133.92449
50999,350,.67971563E-02,.59205595E-02,.10205030E-01,.47114706,134.14230
51999,355,.67675964E-02,.52600668E-02,.95410347E-02,.48068810,134.92441
52999,358,.67097911E-02,.37039779E-02,.10484934E-01,.49117303,136.70800
53999,359,.66040668E-02,.10007798E-02,.91061592E-02,.50027919,138.85326
54999,359,.64912488E-02,.39919453E-03,.90689659E-02,.50934815,141.37036
55999,359,.63788496E-02,.19700113E-03,.89700222E-02,.51831818,143.86000
56999,359,.62704571E-02,.20058902E-03,.99658966E-02,.52828407,146.62605
57999,359,.61667488E-02,.25547599E-03,.10662079E-01,.53894615,149.58533
58999,360,.60798337E-02,.10388468E-02,.93169212E-02,.54826307,151.74703
59999,360,.59796222E-02,.67243860E-04,.92649460E-02,.55752802,154.31137
60999,360,.58820241E-02,.26234770E-04,.91691017E-02,.56669712,156.84917
61999,361,.57945931E-02,.46139063E-03,.90389252E-02,.57573605,158.90793
62999,361,.57033114E-02,.43937406E-04,.90229511E-02,.58475900,161.39834
63999,361,.56149485E-02,.48175563E-04,.10982037E-01,.59574103,164.42948
64999,364,.55658764E-02,.24253080E-02,.88880062E-02,.60462904,165.50225
65999,365,.54896391E-02,.53429455E-03,.89499950E-02,.61357903,167.49027
66999,365,.54077356E-02,.21852390E-05,.88009834E-02,.62238002,169.89269
67999,365,.53282161E-02,.49073798E-06,.89421272E-02,.63132215,172.33365
68999,366,.52602963E-02,.64181662E-03,.91879368E-02,.64051008,174.36224
69999,368,.52079976E-02,.15994361E-02,.94299316E-02,.64994001,175.96419
70999,372,.51810354E-02,.32937109E-02,.93851089E-02,.65932512,176.57861
71999,376,.51633441E-02,.39072789E-02,.91729164E-02,.66849804,177.12353
72999,377,.51064828E-02,.10125286E-02,.89321136E-02,.67743015,179.01227
73999,377,.50491236E-02,.86195847E-03,.11101007E-01,.68853116,181.94573
74999,379,.50105970E-02,.21596626E-02,.90489388E-02,.69758010,183.36049
75999,379,.49447398E-02,.55175666E-05,.89318752E-02,.70651197,185.70826
76999,379,.48809317E-02,.31584113E-04,.88171959E-02,.71532917,188.02588
