NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,147,.14734648,.14719913,.11591196E-01,.11591196E-01,7.8735762
1999,153,.76754789E-01,.62336890E-02,.89418888E-02,.20533085E-01,13.399784
2999,159,.53297054E-01,.64050405E-02,.89569092E-02,.29489994E-01,18.517676
3999,171,.42722403E-01,.11009027E-01,.90432167E-02,.38533211E-01,22.495508
4999,194,.38546771E-01,.21848417E-01,.93410015E-02,.47874212E-01,24.629555
5999,204,.33820005E-01,.10190903E-01,.91109276E-02,.56985140E-01,27.876907
6999,208,.29672169E-01,.47893015E-02,.89349747E-02,.65920115E-01,31.626443
7999,210,.26249127E-01,.22912556E-02,.89130402E-02,.74833155E-01,35.560002
8999,213,.23668698E-01,.30278480E-02,.90038776E-02,.83837032E-01,39.276272
9999,216,.21619561E-01,.31793783E-02,.89280605E-02,.92765093E-01,42.854037
10999,221,.20114874E-01,.50695054E-02,.96650124E-02,.10243011,46.246034
11999,228,.19027058E-01,.70621736E-02,.90730190E-02,.11150312,48.793376
12999,234,.18028061E-01,.60410911E-02,.94630718E-02,.12096620,51.573989
13999,245,.17507225E-01,.10736882E-01,.92139244E-02,.13018012,53.004563
14999,250,.16653878E-01,.47078749E-02,.89890957E-02,.13916922,55.528517
15999,256,.15965659E-01,.56430608E-02,.89478493E-02,.14811707,57.710112
16999,263,.15405566E-01,.64446362E-02,.89800358E-02,.15709710,59.575641
17999,275,.15236227E-01,.12357633E-01,.91500282E-02,.16624713,60.287254
18999,275,.14472702E-01,.73002182E-03,.88169575E-02,.17506409,63.484604
19999,276,.13804992E-01,.11191535E-02,.88689327E-02,.18393302,66.458465
20999,282,.13452149E-01,.63956511E-02,.89111328E-02,.19284415,68.191607
21999,286,.12993949E-01,.33722046E-02,.90160370E-02,.20186019,70.378626
22999,291,.12611284E-01,.41930383E-02,.89478493E-02,.21080804,72.231817
23999,293,.12169153E-01,.20005726E-02,.88939667E-02,.21970201,74.763918
24999,296,.11803970E-01,.30399579E-02,.89499950E-02,.22865200,77.018645
25999,299,.11463126E-01,.29423640E-02,.89411736E-02,.23759317,79.225007
26999,302,.11131512E-01,.25098886E-02,.88629723E-02,.24645615,81.361539
27999,305,.10841540E-01,.30125874E-02,.88648796E-02,.25532103,83.456491
28999,305,.10468449E-01,.22260995E-04,.89530945E-02,.26427412,86.382978
29999,307,.10164815E-01,.13597367E-02,.88639259E-02,.27313805,88.696910
30999,308,.98705073E-02,.10415663E-02,.88610649E-02,.28199911,91.276154
31999,312,.96958901E-02,.42829322E-02,.89418888E-02,.29094100,92.959380
32999,313,.94423510E-02,.13293539E-02,.89991093E-02,.29994011,95.527571
33999,314,.91964789E-02,.10829433E-02,.88438988E-02,.30878401,98.030072
34999,314,.89347548E-02,.36397043E-04,.88081360E-02,.31759214,100.82640
35999,314,.86880383E-02,.53206788E-04,.88460445E-02,.32643819,103.63477
36999,314,.84536691E-02,.16612862E-04,.89688301E-02,.33540702,106.48211
37999,314,.82312798E-02,.30989807E-05,.88331699E-02,.34424019,109.28639
38999,314,.80202224E-02,.25185252E-06,.88210106E-02,.35306120,112.08681
39999,316,.78714192E-02,.20682448E-02,.90248585E-02,.36208606,114.22211
40999,316,.76804026E-02,.39929980E-04,.88829994E-02,.37096906,117.02430
41999,316,.74975393E-02,.32549481E-06,.88491440E-02,.37981820,119.81582
42999,317,.73510230E-02,.11974829E-02,.88357925E-02,.38865399,122.21513
43999,319,.72296198E-02,.20094060E-02,.90219975E-02,.39767599,124.26564
44999,319,.70696614E-02,.31653668E-04,.88422298E-02,.40651822,127.02866
45999,319,.69160291E-02,.27268786E-05,.88768005E-02,.41539502,129.80248
46999,319,.67688764E-02,.42543229E-09,.88121891E-02,.42420721,132.55611
47999,325,.67358020E-02,.51813378E-02,.90630054E-02,.43327022,132.88064
48999,340,.68922171E-02,.14399985E-01,.90367794E-02,.44230700,129.64799
49999,343,.68146886E-02,.30158708E-02,.88732243E-02,.45118022,131.08824
50999,350,.67971563E-02,.59205595E-02,.89209080E-02,.46010113,130.99736
51999,355,.67675964E-02,.52600668E-02,.90029240E-02,.46910405,131.67288
52999,358,.67097911E-02,.37039779E-02,.88779926E-02,.47798204,133.03656
53999,359,.66040668E-02,.10007798E-02,.88191032E-02,.48680115,135.11240
54999,359,.64912488E-02,.39919453E-03,.89190006E-02,.49572015,137.58789
55999,359,.63788496E-02,.19700113E-03,.90589523E-02,.50477910,140.10221
56999,359,.62704571E-02,.20058902E-03,.88670254E-02,.51364613,142.56327
57999,359,.61667488E-02,.25547599E-03,.90789795E-02,.52272511,145.08315
58999,360,.60798337E-02,.10388468E-02,.91590881E-02,.53188419,147.21373
59999,360,.59796222E-02,.67243860E-04,.91388226E-02,.54102302,149.74315
60999,360,.58820241E-02,.26234770E-04,.91011524E-02,.55012417,152.26214
61999,361,.57945931E-02,.46139063E-03,.95849037E-02,.55970907,154.48436
62999,361,.57033114E-02,.43937406E-04,.90899467E-02,.56879902,156.99326
63999,361,.56149485E-02,.48175563E-04,.10006189E-01,.57880521,159.75505
64999,364,.55658764E-02,.24253080E-02,.93238354E-02,.58812904,160.98578
65999,365,.54896391E-02,.53429455E-03,.90000629E-02,.59712911,162.99989
66999,365,.54077356E-02,.21852390E-05,.88748932E-02,.60600400,165.42249
67999,365,.53282161E-02,.49073798E-06,.88272095E-02,.61483121,167.83208
68999,366,.52602963E-02,.64181662E-03,.10988951E-01,.62582016,170.36329
69999,368,.52079976E-02,.15994361E-02,.90339184E-02,.63485408,171.87984
70999,372,.51810354E-02,.32937109E-02,.10273933E-01,.64512801,172.77638
71999,376,.51633441E-02,.39072789E-02,.92601776E-02,.65438819,173.38502
72999,377,.51064828E-02,.10125286E-02,.92380047E-02,.66362619,175.36454
73999,377,.50491236E-02,.86195847E-03,.90999603E-02,.67272615,177.76922
74999,379,.50105970E-02,.21596626E-02,.92298985E-02,.68195605,179.25368
75999,379,.49447398E-02,.55175666E-05,.89650154E-02,.69092107,181.61015
76999,379,.48809317E-02,.31584113E-04,.11209965E-01,.70213103,184.55672
77999,379,.48184367E-02,.63803332E-05,.88629723E-02,.71099401,186.88637
78999,379,.47588340E-02,.10988595E-03,.88281631E-02,.71982217,189.20687
79999,379,.47011949E-02,.14775814E-03,.89130402E-02,.72873521,191.54968
80999,379,.46431654E-02,.86700747E-06,.90489388E-02,.73778415,193.92822
81999,379,.45873959E-02,.70122897E-04,.88858604E-02,.74667001,196.26389
82999,379,.45321478E-02,.18614235E-05,.89061260E-02,.75557613,198.60488
83999,379,.44781985E-02,.45537495E-06,.89590549E-02,.76453519,200.95979
84999,379,.44255156E-02,.20577538E-06,.88369846E-02,.77337217,203.28261
85999,379,.43740749E-02,.16672669E-05,.88708401E-02,.78224301,205.61433
