SampleLogFunc,SampleVariable1,SampleVariable2,SampleVariable3,SampleVariable4,SampleVariable5,SampleVariable6,SampleVariable7,SampleVariable8,SampleVariable9,SampleVariable10,SampleVariable11,SampleVariable12,SampleVariable13,SampleVariable14,SampleVariable15,SampleVariable16,SampleVariable17,SampleVariable18,SampleVariable19,SampleVariable20,SampleVariable21,SampleVariable22
-34.487172,35.143821,49.905225,13.118906,17.885105,34.920867,18.982660,84.163394,9.6572381,9.1151401,8.1526852,53.056696,8.3374821,38.320999,8.7437772,35.972966,54.252507,52.034030,19.486792,30.912650,49.685955,63.872562,7.7287669
-33.557356,35.870064,49.540779,15.452964,18.219661,33.875436,17.284443,84.657967,8.9702752,10.532026,8.5775654,54.256081,6.7656987,39.807419,8.6451434,35.187601,54.159308,50.707866,20.771244,30.609303,50.204767,64.247021,8.4143390
-28.329363,35.055329,50.380715,13.499061,15.552200,32.543363,18.576750,84.463145,9.1793727,10.694326,7.3506810,53.033822,7.3130604,38.055083,8.0138943,35.180530,53.484884,50.951835,20.842434,33.145273,49.890774,62.871002,9.6190558
-36.089565,35.754299,49.459900,12.512400,17.325281,31.637208,17.887379,81.505212,10.150011,10.143340,9.0231474,54.704967,7.5343116,37.093265,9.7878873,35.449423,56.002526,53.104852,20.276256,31.010609,49.937196,62.792409,10.678690
-31.409247,35.623546,50.251952,13.956857,17.206765,33.136702,16.261280,82.341683,9.0464001,10.426893,9.2507427,54.652737,7.4013730,37.267693,6.4604677,35.490817,54.562338,52.426536,21.002370,31.645192,49.853717,62.578225,8.4458767
-37.370201,35.919138,49.809074,12.955825,14.619735,31.365028,15.820888,82.657919,8.0512783,9.8163006,9.7661386,56.686945,5.5063601,36.919048,9.4291417,34.070950,54.412343,51.973270,20.920825,31.582461,51.547669,63.037073,8.5539234
-37.171552,34.785006,50.146088,12.096550,18.687579,32.611810,18.643019,83.514558,7.4939668,8.7712828,8.9229121,55.737827,6.4979697,37.409167,9.8955842,33.982101,53.762356,51.014658,20.756574,32.199772,51.279755,64.511704,6.8428501
-38.893019,34.933251,49.328689,12.995498,16.092713,33.847014,15.935353,84.107826,9.4643302,9.0247475,9.6900937,52.280576,8.1986942,38.066963,12.175953,33.969420,55.636315,50.579875,22.637737,31.118268,51.275338,63.087723,8.7625693
-31.218967,35.982252,51.881368,14.193841,15.064141,31.323233,18.072963,82.638486,10.935815,9.9675778,8.2972691,54.460786,6.6767573,37.727213,9.3702556,35.445878,54.199411,50.272913,21.486392,31.176669,49.795273,63.856365,7.6220706
-34.380012,34.971293,52.014269,13.561817,15.417547,30.446945,18.696383,82.988866,11.197156,11.221118,7.1197684,52.629637,7.9448400,38.186904,10.079074,35.507470,54.761638,51.927358,20.717176,33.036078,50.154279,63.007268,7.5534517
-33.694268,34.353405,49.124972,13.177287,16.928091,30.277327,16.868341,82.285365,10.050454,9.9950151,7.9684797,51.904753,7.4619295,38.159621,10.553241,34.072315,54.619509,49.788593,21.408820,33.847624,49.894381,63.020056,7.7166003
-35.941414,34.297315,49.896617,15.787503,15.958252,30.900223,16.160240,82.819241,9.1115033,10.818989,7.7002484,53.654827,7.6170899,39.611807,10.389281,36.359799,54.270982,50.068351,22.638291,33.116241,50.813286,64.150375,5.8244718
-32.103531,36.190060,50.779869,14.148355,16.472769,32.954549,17.733682,85.835306,9.5291238,10.687160,8.8608146,52.802119,7.1882896,36.686578,8.6177265,34.927689,53.747398,48.402700,21.005955,33.451519,51.087766,64.865153,7.2148516
-33.912559,34.439426,49.297331,13.873361,15.575379,30.984540,17.940962,82.766498,10.287012,9.5366135,10.971763,53.887567,8.3749130,37.296369,10.835056,36.049247,56.280030,50.276050,22.615504,32.679543,52.393171,63.635091,7.8819910
-35.252759,34.052958,50.098869,14.552184,18.478024,33.936538,18.158257,81.904317,8.3149572,10.783199,9.4004734,54.423313,8.1878930,35.682935,9.6397812,34.839379,53.286551,50.447346,19.819747,32.372635,53.834620,63.868928,8.2765323
-30.103101,36.209277,51.021149,13.366331,16.405618,31.388597,17.983635,83.407612,8.5331438,10.680747,9.6871130,52.898619,7.2711946,35.194324,9.8238261,34.013961,54.861142,51.088253,18.363689,32.719227,51.826711,64.624220,7.9450963
-30.692585,34.579927,49.874873,14.491073,15.787721,30.185946,18.746415,82.115963,7.8031909,11.504476,8.9022474,54.063718,7.0484502,37.316896,9.7184706,34.583759,52.789072,52.303158,20.645895,33.092692,51.643808,64.446528,6.7475505
-28.235704,34.464511,49.703882,15.155615,16.122683,31.870911,16.927879,82.603407,10.278435,10.240680,7.6223487,53.023214,7.8148123,38.125733,10.188844,37.284815,54.591771,51.186658,19.805781,34.105539,50.883207,63.523344,9.0688898
-24.104143,34.813451,49.656090,13.330644,16.453055,31.828280,15.918494,82.881224,10.032124,11.160139,8.1559313,53.203872,7.9290675,37.441558,8.7801649,36.014452,54.574292,51.734271,20.349013,33.656066,51.157451,64.571453,9.0128651
-27.809802,34.965747,50.257060,13.789369,15.628167,33.668621,16.631603,83.907376,7.8855704,11.244400,8.7455145,53.243323,7.6420760,39.920055,9.0812433,36.655192,55.241465,51.280647,21.022003,33.319395,51.813757,64.730159,6.9653043
-25.894389,35.237694,50.661807,13.125347,16.855819,32.560379,17.338260,82.708909,8.5154181,11.098872,10.236016,55.264431,6.9607342,38.483754,9.0859118,35.453780,55.593685,51.285200,19.346084,33.852664,50.447891,65.489148,9.1143629
-26.107824,35.228341,50.730739,12.478728,15.505032,31.409957,18.230160,83.373667,9.2788146,10.829909,10.043472,52.746317,6.6607124,37.600044,8.7354930,36.362944,54.337527,51.255036,20.959779,32.083346,50.002133,65.893677,9.4671993
-28.464173,35.698596,50.454068,13.795763,16.925192,32.870393,16.823657,83.061022,8.3243540,11.940313,8.0601322,51.947228,9.1246893,38.634051,10.043804,36.105246,55.028072,51.498645,19.556510,32.977383,51.941708,62.915376,7.5339556
-31.465116,36.499281,52.323127,14.426945,15.940852,32.246298,16.110258,81.727083,9.3959284,11.724370,10.651777,52.857853,6.4310547,36.412634,9.4297698,35.267898,55.663515,50.436086,20.627217,30.833873,51.684873,64.796697,9.0228712
-29.546111,36.035720,51.794649,14.775886,17.503513,32.016373,18.185215,80.935086,10.062341,11.297057,9.9539023,54.114630,6.6459843,38.518592,8.2171984,35.747723,55.269759,50.753269,20.410477,33.123530,49.747336,63.730619,8.8696108
-32.457069,37.347243,52.835550,13.543101,14.720619,32.887768,17.810851,82.718892,8.7486753,12.164221,8.6774821,54.138673,7.4273324,37.914606,10.108514,35.327743,56.162956,50.524205,21.267522,34.492426,50.735657,62.890146,8.8887592
